Domaine	Endpoint/source	Chemin JSON exact	Type	Exemple réel	Disponible avant match ?	Disponible en direct ?	Disponible après match ?	Historique accessible ?	Fiabilité/complétude	Déjà stocké dans le projet ?	Déjà utilisé par le moteur ?
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].games.rating	str	6.3	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].games.substitute	bool	False	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].goals.assists	int	0	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].goals.conceded	int	2	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].goals.saves	int	3	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].goals.total	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].offsides	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].passes.accuracy	str	10	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].passes.key	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].passes.total	int	11	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].penalty.commited	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].penalty.missed	int	0	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].penalty.saved	int	0	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].penalty.scored	int	0	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].penalty.won	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].shots.on	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].shots.total	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].tackles.blocks	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].tackles.interceptions	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].tackles.total	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].team.id	int	50	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].team.logo	str	https://media.api-sports.io/football/teams/50.png	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].team.name	str	Manchester City	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].team.update	str	2026-05-26T04:32:02+00:00	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].score.extratime.away	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].score.extratime.home	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].score.fulltime.away	int	2	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].score.fulltime.home	int	1	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].score.halftime.away	int	0	oui	non	oui	oui	bonne	non	non
